ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
8.372239839513143655e-01,2.604046643527043181e-01,-1.044984790030881010e-02,1.204641782707640774e+00,2.635328431572753871e+00,8.454821706093947897e-01
5.178639416624140068e-01,2.605093286234393402e-01,-1.269010693432907205e-02,1.347710447594152150e+00,2.936089814922661301e+00,8.546794285175415284e-01
9.487873424354710261e-01,2.606218064329287598e-01,-1.510327650544936000e-02,1.506548384327003109e+00,3.272569238148228532e+00,8.714551173454392341e-01
1.846417008248876224e-01,2.607420395404478897e-01,-1.769098636200803001e-02,1.683150469709125741e+00,3.648548200387804474e+00,8.975162483491410104e-01
5.720867439372451235e-01,2.608699402301198900e-01,-2.045502171402152625e-02,1.879690242776993703e+00,4.068238300952677022e+00,9.349900461780605854e-01
9.302533051243989659e-01,2.610053872032970235e-01,-2.339732828707481380e-02,2.098545048594561813e+00,4.536294269251763822e+00,9.865241400424157314e-01
2.465519550322171904e-01,2.611482204047751443e-01,-2.652001785828903696e-02,2.342319970660282191e+00,5.057821286671673633e+00,1.055409720004546248e+00
7.059035363076331393e-01,2.612982348532337240e-01,-2.982537413049643829e-02,2.613870102261421469e+00,5.638371592945880195e+00,1.145732300850042407e+00
7.888941881968425385e-01,2.614551767223330381e-01,-3.331585602841017485e-02,2.916320251329867386e+00,6.283923551585748335e+00,1.262555329708785257e+00
6.328525624991317988e-01,2.616187362386056536e-01,-3.699410196105368254e-02,3.253080581355455525e+00,7.000833829677711506e+00,1.412142314178434166e+00
8.829307472221741282e-01,2.617885432741575147e-01,-4.086293202813888470e-02,3.627855906187681168e+00,7.795749926756819548e+00,1.602223244505504463e+00
3.927833627610960443e-01,2.619641620340081301e-01,-4.492534913087500859e-02,4.044645308244595228e+00,8.675465730615696813e+00,1.842310524724011689e+00
9.063174522568887559e-01,2.621450848413414692e-01,-4.918453884345667937e-02,4.507727350481705031e+00,9.646696833416481098e+00,2.144067920671338001e+00
3.226432863675894880e-01,2.623307292230488974e-01,-5.364386802402981019e-02,5.021624298775182460e+00,1.071574478714418710e+01,2.521732420805000707e+00
8.304694652921422726e-01,2.625204326509131825e-01,-5.830688090504356630e-02,5.591036347612083013e+00,1.188801021493656052e+01,2.992582261168098778e+00
5.350017435361971163e-01,2.627134492882057804e-01,-6.317729427467472236e-02,6.220733734344531030e+00,1.316730392816447903e+01,3.577433064387685935e+00
9.453445362078197745e-01,2.629089469758749131e-01,-6.825898921380346707e-02,6.915390753726526007e+00,1.455489374903934241e+01,4.301125841923466808e+00
1.963393274653991993e-01,2.631060063757110767e-01,-7.355600220414530710e-02,7.679341053257807914e+00,1.604821456381385758e+01,5.192942592255154644e+00
5.996027446321688936e-01,2.633036199089442975e-01,-7.907251161242954962e-02,8.516228404313412881e+00,1.763916414072874517e+01,6.286843942633566051e+00
9.123013143946080428e-01,2.635006932502879096e-01,-8.481282403851327090e-02,9.428521977954945399e+00,1.931191446295179759e+01,7.621365321519736113e+00
3.040289793642185767e-01,2.636960477941627246e-01,-9.078135575582738093e-02,1.041686122645463008e+01,2.104019936778993838e+01,9.238931607898074105e+00
8.040623644696863748e-01,2.638884250744473192e-01,-9.698261196143664886e-02,1.147919504058816109e+01,2.278411183311753874e+01,1.118425767182749553e+01
5.986750983497937106e-01,2.640764933932727154e-01,-1.034211627015020063e-01,1.260968671984109868e+01,2.448658257416002471e+01,1.350140615530914445e+01
9.130002548695024256e-01,2.642588566870489597e-01,-1.101016152294284345e-01,1.379737630527299075e+01,2.606994401101610492e+01,1.622900500414382918e+01
3.018370000153589583e-01,2.644340656410446577e-01,-1.170285835240000988e-01,1.502463307584730146e+01,2.743333304535907402e+01,1.939314571845718405e+01
8.007794166609311093e-01,2.646006316666207892e-01,-1.242066524670644295e-01,1.626550307279847729e+01,2.845214799008014595e+01,2.299768815268629751e+01
6.062206215498179285e-01,2.647570433610113572e-01,-1.316403400484250641e-01,1.748416756452664345e+01,2.898127769741511628e+01,2.701222481525780950e+01
9.071252823187673231e-01,2.649017860631819321e-01,-1.393340536709797850e-01,1.863387857781549073e+01,2.886416918890210326e+01,3.135894393439173200e+01
3.201462170880832181e-01,2.650333643144981433e-01,-1.472920425629538899e-01,1.965690763892415305e+01,2.794962596278162792e+01,3.590111513881675620e+01
8.270799437346378902e-01,2.651503269602521473e-01,-1.555183466666263392e-01,2.048617947130989947e+01,2.611701479787154767e+01,4.043766455899326218e+01
5.434710995448751580e-01,2.652512957829720186e-01,-1.640167377848429919e-01,2.104926300396606464e+01,2.330784236629796879e+01,4.470957056924544304e+01
9.428190013165661520e-01,2.653349961470807816e-01,-1.727906590774309359e-01,2.127512094019925470e+01,1.955752248668120430e+01,4.842329536239555665e+01
2.048630618773961409e-01,2.654002904532653528e-01,-1.818431565014652085e-01,2.110336109484745037e+01,1.501686647349063009e+01,5.129273263702855701e+01
6.189979134713343711e-01,2.654462145711869447e-01,-1.911768032816396068e-01,2.049471163271176977e+01,9.951148331506203704e+00,5.309381901463081732e+01
8.961900870399814867e-01,2.654720151962310926e-01,-2.007936199652222420e-01,1.944035530259121458e+01,4.708731003507962143e+00,5.371726601619621988e+01
3.535269767387571593e-01,2.654771888510050748e-01,-2.106949861003254154e-01,1.796719287268289023e+01,-3.378841941882084754e-01,5.320002056886948338e+01
